"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.2721092458099,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615148605415,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557097451229,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709948820521,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.244122704307,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1447935631505,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.2130309505285,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
"AUT","GGEXP","TOT","PC_GDP","A","2014",52.4309231683267,
"AUT","GGEXP","TOT","PC_GDP","A","2015",51.1314850879935,
"AUT","GGEXP","TOT","PC_GDP","A","2016",50.0713225195357,
"AUT","GGEXP","TOT","PC_GDP","A","2017",49.2988840456109,
"AUT","GGEXP","TOT","PC_GDP","A","2018",48.7576442007818,
"AUT","GGEXP","TOT","PC_GDP","A","2019",48.6085967216922,
"AUT","GGEXP","TOT","PC_GDP","A","2020",56.8016615890176,
"BEL","GGEXP","TOT","PC_GDP","A","1995",52.6445312370094,
"BEL","GGEXP","TOT","PC_GDP","A","1996",53.0522369288679,
"BEL","GGEXP","TOT","PC_GDP","A","1997",51.6019303752987,
"BEL","GGEXP","TOT","PC_GDP","A","1998",50.9595750735737,
"BEL","GGEXP","TOT","PC_GDP","A","1999",50.49688907818,
"BEL","GGEXP","TOT","PC_GDP","A","2000",49.3982675472469,
"BEL","GGEXP","TOT","PC_GDP","A","2001",49.3794803486032,
"BEL","GGEXP","TOT","PC_GDP","A","2002",49.9034787537982,
